16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=130 ttl=64 time=1404 ms
64 bytes from 10.0.0.8: icmp_seq=131 ttl=64 time=1388 ms
64 bytes from 10.0.0.8: icmp_seq=132 ttl=64 time=1376 ms
64 bytes from 10.0.0.8: icmp_seq=133 ttl=64 time=1359 ms
64 bytes from 10.0.0.8: icmp_seq=134 ttl=64 time=1581 ms
64 bytes from 10.0.0.8: icmp_seq=135 ttl=64 time=1561 ms
64 bytes from 10.0.0.8: icmp_seq=136 ttl=64 time=1537 ms
64 bytes from 10.0.0.8: icmp_seq=137 ttl=64 time=1519 ms
64 bytes from 10.0.0.8: icmp_seq=138 ttl=64 time=1494 ms
64 bytes from 10.0.0.8: icmp_seq=139 ttl=64 time=1475 ms
64 bytes from 10.0.0.8: icmp_seq=140 ttl=64 time=1450 ms
64 bytes from 10.0.0.8: icmp_seq=141 ttl=64 time=1430 ms
64 bytes from 10.0.0.8: icmp_seq=142 ttl=64 time=1648 ms
64 bytes from 10.0.0.8: icmp_seq=143 ttl=64 time=1629 ms
64 bytes from 10.0.0.8: icmp_seq=144 ttl=64 time=1606 ms
64 bytes from 10.0.0.8: icmp_seq=145 ttl=64 time=1586 ms
64 bytes from 10.0.0.8: icmp_seq=146 ttl=64 time=1562 ms
64 bytes from 10.0.0.8: icmp_seq=147 ttl=64 time=1542 ms
64 bytes from 10.0.0.8: icmp_seq=148 ttl=64 time=1517 ms
64 bytes from 10.0.0.8: icmp_seq=149 ttl=64 time=1739 ms
64 bytes from 10.0.0.8: icmp_seq=150 ttl=64 time=1717 ms
64 bytes from 10.0.0.8: icmp_seq=151 ttl=64 time=1697 ms
64 bytes from 10.0.0.8: icmp_seq=152 ttl=64 time=1673 ms
64 bytes from 10.0.0.8: icmp_seq=153 ttl=64 time=1654 ms
64 bytes from 10.0.0.8: icmp_seq=154 ttl=64 time=1630 ms
64 bytes from 10.0.0.8: icmp_seq=155 ttl=64 time=1612 ms
64 bytes from 10.0.0.8: icmp_seq=156 ttl=64 time=1588 ms
64 bytes from 10.0.0.8: icmp_seq=157 ttl=64 time=1811 ms
64 bytes from 10.0.0.8: icmp_seq=158 ttl=64 time=1786 ms
64 bytes from 10.0.0.8: icmp_seq=159 ttl=64 time=1767 ms
64 bytes from 10.0.0.8: icmp_seq=160 ttl=64 time=1745 ms
64 bytes from 10.0.0.8: icmp_seq=161 ttl=64 time=1725 ms
64 bytes from 10.0.0.8: icmp_seq=162 ttl=64 time=1707 ms
64 bytes from 10.0.0.8: icmp_seq=163 ttl=64 time=1690 ms
64 bytes from 10.0.0.8: icmp_seq=164 ttl=64 time=1665 ms
64 bytes from 10.0.0.8: icmp_seq=165 ttl=64 time=1887 ms
64 bytes from 10.0.0.8: icmp_seq=166 ttl=64 time=1864 ms
64 bytes from 10.0.0.8: icmp_seq=167 ttl=64 time=1846 ms
64 bytes from 10.0.0.8: icmp_seq=168 ttl=64 time=1821 ms
64 bytes from 10.0.0.8: icmp_seq=169 ttl=64 time=1802 ms
64 bytes from 10.0.0.8: icmp_seq=170 ttl=64 time=1778 ms
64 bytes from 10.0.0.8: icmp_seq=171 ttl=64 time=1758 ms
64 bytes from 10.0.0.8: icmp_seq=172 ttl=64 time=1977 ms
64 bytes from 10.0.0.8: icmp_seq=173 ttl=64 time=1957 ms
64 bytes from 10.0.0.8: icmp_seq=174 ttl=64 time=1933 ms
64 bytes from 10.0.0.8: icmp_seq=175 ttl=64 time=1913 ms
64 bytes from 10.0.0.8: icmp_seq=176 ttl=64 time=1890 ms
64 bytes from 10.0.0.8: icmp_seq=177 ttl=64 time=1872 ms
64 bytes from 10.0.0.8: icmp_seq=178 ttl=64 time=1847 ms
64 bytes from 10.0.0.8: icmp_seq=179 ttl=64 time=1828 ms
64 bytes from 10.0.0.8: icmp_seq=180 ttl=64 time=2048 ms
64 bytes from 10.0.0.8: icmp_seq=181 ttl=64 time=2029 ms
64 bytes from 10.0.0.8: icmp_seq=182 ttl=64 time=1997 ms
64 bytes from 10.0.0.8: icmp_seq=183 ttl=64 time=1976 ms
64 bytes from 10.0.0.8: icmp_seq=184 ttl=64 time=1946 ms
64 bytes from 10.0.0.8: icmp_seq=185 ttl=64 time=1929 ms
64 bytes from 10.0.0.8: icmp_seq=186 ttl=64 time=1905 ms
64 bytes from 10.0.0.8: icmp_seq=187 ttl=64 time=2126 ms
64 bytes from 10.0.0.8: icmp_seq=188 ttl=64 time=2105 ms
64 bytes from 10.0.0.8: icmp_seq=189 ttl=64 time=2078 ms
64 bytes from 10.0.0.8: icmp_seq=190 ttl=64 time=2054 ms
64 bytes from 10.0.0.8: icmp_seq=191 ttl=64 time=2040 ms
64 bytes from 10.0.0.8: icmp_seq=192 ttl=64 time=2021 ms
64 bytes from 10.0.0.8: icmp_seq=193 ttl=64 time=2007 ms
64 bytes from 10.0.0.8: icmp_seq=194 ttl=64 time=1986 ms
64 bytes from 10.0.0.8: icmp_seq=195 ttl=64 time=2210 ms
64 bytes from 10.0.0.8: icmp_seq=196 ttl=64 time=2189 ms
64 bytes from 10.0.0.8: icmp_seq=197 ttl=64 time=2175 ms
64 bytes from 10.0.0.8: icmp_seq=198 ttl=64 time=2155 ms
64 bytes from 10.0.0.8: icmp_seq=199 ttl=64 time=2145 ms
64 bytes from 10.0.0.8: icmp_seq=200 ttl=64 time=2120 ms
64 bytes from 10.0.0.8: icmp_seq=201 ttl=64 time=2099 ms
64 bytes from 10.0.0.8: icmp_seq=202 ttl=64 time=2075 ms
64 bytes from 10.0.0.8: icmp_seq=203 ttl=64 time=2298 ms
64 bytes from 10.0.0.8: icmp_seq=204 ttl=64 time=2273 ms
64 bytes from 10.0.0.8: icmp_seq=205 ttl=64 time=2256 ms
64 bytes from 10.0.0.8: icmp_seq=206 ttl=64 time=2232 ms
64 bytes from 10.0.0.8: icmp_seq=207 ttl=64 time=2210 ms
64 bytes from 10.0.0.8: icmp_seq=208 ttl=64 time=2187 ms
64 bytes from 10.0.0.8: icmp_seq=209 ttl=64 time=2167 ms
64 bytes from 10.0.0.8: icmp_seq=210 ttl=64 time=2144 ms
64 bytes from 10.0.0.8: icmp_seq=211 ttl=64 time=2365 ms
64 bytes from 10.0.0.8: icmp_seq=212 ttl=64 time=2343 ms
64 bytes from 10.0.0.8: icmp_seq=213 ttl=64 time=2322 ms
64 bytes from 10.0.0.8: icmp_seq=214 ttl=64 time=2300 ms
64 bytes from 10.0.0.8: icmp_seq=215 ttl=64 time=2280 ms
64 bytes from 10.0.0.8: icmp_seq=216 ttl=64 time=2256 ms
64 bytes from 10.0.0.8: icmp_seq=217 ttl=64 time=2235 ms
64 bytes from 10.0.0.8: icmp_seq=218 ttl=64 time=2211 ms
64 bytes from 10.0.0.8: icmp_seq=219 ttl=64 time=2432 ms
64 bytes from 10.0.0.8: icmp_seq=220 ttl=64 time=2410 ms
64 bytes from 10.0.0.8: icmp_seq=221 ttl=64 time=2389 ms
64 bytes from 10.0.0.8: icmp_seq=222 ttl=64 time=2367 ms
64 bytes from 10.0.0.8: icmp_seq=223 ttl=64 time=2353 ms
64 bytes from 10.0.0.8: icmp_seq=224 ttl=64 time=2332 ms
64 bytes from 10.0.0.8: icmp_seq=225 ttl=64 time=2313 ms
64 bytes from 10.0.0.8: icmp_seq=226 ttl=64 time=2531 ms
64 bytes from 10.0.0.8: icmp_seq=227 ttl=64 time=2511 ms
64 bytes from 10.0.0.8: icmp_seq=228 ttl=64 time=2488 ms
64 bytes from 10.0.0.8: icmp_seq=229 ttl=64 time=2466 ms
64 bytes from 10.0.0.8: icmp_seq=230 ttl=64 time=2444 ms
64 bytes from 10.0.0.8: icmp_seq=231 ttl=64 time=2424 ms
64 bytes from 10.0.0.8: icmp_seq=232 ttl=64 time=2399 ms
64 bytes from 10.0.0.8: icmp_seq=233 ttl=64 time=2378 ms
64 bytes from 10.0.0.8: icmp_seq=234 ttl=64 time=2597 ms
64 bytes from 10.0.0.8: icmp_seq=235 ttl=64 time=2577 ms
64 bytes from 10.0.0.8: icmp_seq=236 ttl=64 time=2554 ms
64 bytes from 10.0.0.8: icmp_seq=237 ttl=64 time=2537 ms
64 bytes from 10.0.0.8: icmp_seq=238 ttl=64 time=2513 ms
64 bytes from 10.0.0.8: icmp_seq=239 ttl=64 time=2493 ms
64 bytes from 10.0.0.8: icmp_seq=240 ttl=64 time=2469 ms
64 bytes from 10.0.0.8: icmp_seq=241 ttl=64 time=2450 ms
64 bytes from 10.0.0.8: icmp_seq=242 ttl=64 time=2668 ms
64 bytes from 10.0.0.8: icmp_seq=243 ttl=64 time=2651 ms
64 bytes from 10.0.0.8: icmp_seq=244 ttl=64 time=2626 ms
64 bytes from 10.0.0.8: icmp_seq=245 ttl=64 time=2606 ms
64 bytes from 10.0.0.8: icmp_seq=246 ttl=64 time=2582 ms
64 bytes from 10.0.0.8: icmp_seq=247 ttl=64 time=2561 ms
64 bytes from 10.0.0.8: icmp_seq=248 ttl=64 time=2539 ms
64 bytes from 10.0.0.8: icmp_seq=249 ttl=64 time=2760 ms
64 bytes from 10.0.0.8: icmp_seq=250 ttl=64 time=2736 ms
64 bytes from 10.0.0.8: icmp_seq=251 ttl=64 time=2717 ms
64 bytes from 10.0.0.8: icmp_seq=252 ttl=64 time=2696 ms
64 bytes from 10.0.0.8: icmp_seq=253 ttl=64 time=2678 ms
64 bytes from 10.0.0.8: icmp_seq=254 ttl=64 time=2656 ms
64 bytes from 10.0.0.8: icmp_seq=255 ttl=64 time=2636 ms
64 bytes from 10.0.0.8: icmp_seq=256 ttl=64 time=2612 ms
64 bytes from 10.0.0.8: icmp_seq=257 ttl=64 time=2833 ms
64 bytes from 10.0.0.8: icmp_seq=258 ttl=64 time=2813 ms
64 bytes from 10.0.0.8: icmp_seq=259 ttl=64 time=2795 ms
64 bytes from 10.0.0.8: icmp_seq=260 ttl=64 time=2771 ms
64 bytes from 10.0.0.8: icmp_seq=261 ttl=64 time=2754 ms
